feature_set,fold,model,strategy,threshold,recall,precision,f1,roc_auc,pr_auc
top30_full,2,XGBoost,weighted,0.25,0.7142857142857143,0.4411764705882353,0.5454545454545454,0.898854961832061,0.6013362356039142
top30_full,2,XGBoost,weighted,0.3,0.6904761904761905,0.47540983606557374,0.5631067961165048,0.898854961832061,0.6013362356039142
top30_full,2,XGBoost,weighted,0.35,0.6904761904761905,0.5370370370370371,0.6041666666666666,0.898854961832061,0.6013362356039142
top30_full,2,XGBoost,weighted,0.4,0.6904761904761905,0.5576923076923077,0.6170212765957447,0.898854961832061,0.6013362356039142
top30_full,2,XGBoost,weighted,0.45,0.5952380952380952,0.5681818181818182,0.5813953488372093,0.898854961832061,0.6013362356039142
top30_full,2,XGBoost,weighted,0.5,0.5952380952380952,0.625,0.6097560975609756,0.898854961832061,0.6013362356039142
top30_full,2,XGBoost,smote,0.2,0.6666666666666666,0.56,0.6086956521739131,0.896037804434751,0.6059791857771197
top30_full,2,XGBoost,smote,0.25,0.6428571428571429,0.5869565217391305,0.6136363636363636,0.896037804434751,0.6059791857771197
top30_full,2,XGBoost,smote,0.3,0.5714285714285714,0.5853658536585366,0.5783132530120482,0.896037804434751,0.6059791857771197
top30_full,2,XGBoost,smote,0.35,0.5476190476190477,0.6052631578947368,0.575,0.896037804434751,0.6059791857771197
top30_full,2,XGBoost,smote,0.4,0.5,0.65625,0.5675675675675675,0.896037804434751,0.6059791857771197
top30_full,2,XGBoost,smote,0.45,0.42857142857142855,0.6428571428571429,0.5142857142857142,0.896037804434751,0.6059791857771197
top30_full,2,XGBoost,smote,0.5,0.40476190476190477,0.6296296296296297,0.4927536231884058,0.896037804434751,0.6059791857771197
top30_full,2,LightGBM,weighted,0.2,0.8095238095238095,0.4,0.5354330708661418,0.8893129770992367,0.6064922529833928
top30_full,2,LightGBM,weighted,0.25,0.7380952380952381,0.40789473684210525,0.5254237288135594,0.8893129770992367,0.6064922529833928
top30_full,2,LightGBM,weighted,0.3,0.7142857142857143,0.4411764705882353,0.5454545454545454,0.8893129770992367,0.6064922529833928
top30_full,2,LightGBM,weighted,0.35,0.6428571428571429,0.47368421052631576,0.5454545454545454,0.8893129770992367,0.6064922529833928
top30_full,2,LightGBM,weighted,0.4,0.6190476190476191,0.5098039215686274,0.5591397849462365,0.8893129770992367,0.6064922529833928
top30_full,2,LightGBM,weighted,0.45,0.6190476190476191,0.5531914893617021,0.5842696629213483,0.8893129770992367,0.6064922529833928
top30_full,2,LightGBM,weighted,0.5,0.6190476190476191,0.5777777777777777,0.5977011494252874,0.8893129770992367,0.6064922529833928
top30_full,2,LightGBM,smote,0.2,0.6904761904761905,0.4603174603174603,0.5523809523809524,0.888676844783715,0.5483150312134468
top30_full,2,LightGBM,smote,0.25,0.6428571428571429,0.5094339622641509,0.5684210526315789,0.888676844783715,0.5483150312134468
top30_full,2,LightGBM,smote,0.3,0.5952380952380952,0.5681818181818182,0.5813953488372093,0.888676844783715,0.5483150312134468
top30_full,2,LightGBM,smote,0.35,0.5714285714285714,0.5581395348837209,0.5647058823529412,0.888676844783715,0.5483150312134468
top30_full,2,LightGBM,smote,0.4,0.5238095238095238,0.5789473684210527,0.55,0.888676844783715,0.5483150312134468
top30_full,2,LightGBM,smote,0.45,0.47619047619047616,0.5882352941176471,0.5263157894736842,0.888676844783715,0.5483150312134468
top30_full,2,LightGBM,smote,0.5,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.888676844783715,0.5483150312134468
top30_full,3,Logistic,weighted,0.2,0.8780487804878049,0.24324324324324326,0.38095238095238093,0.837925898342953,0.5531813940861899
