hogar_id,conglome,vivienda,hogar,ubigeo,departamento_codigo,provincia_codigo,distrito_codigo,dominio_geografico,estrato_geografico,area_urbana_rural,area_rural_bin,factor_expansion_anual,target_pobreza_monetaria_bin,nivel_educativo_jefe_ord,usa_combustible_limpio,num_habitaciones,num_miembros_afiliados_essalud,material_techo,num_ninos_0_5,tam_hogar,edad_jefe,piso_precario,tenencia_vivienda,num_ninos_6_16,acceso_internet_hogar,num_miembros_sin_atencion_salud,tipo_vivienda,material_pared,acceso_desague_red,num_6_16_no_matriculados
040129_015582_092_11,015582,092,11,040129,04,0401,040129,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,10.0,1,4.0,1,concreto armado,0,1,62.0,0,"propia, totalmente pagada",0,1,1,casa independiente,ladrillo o bloque de cemento,1,0
040129_015582_112_11,015582,112,11,040129,04,0401,040129,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,10.0,1,4.0,4,concreto armado,0,6,43.0,0,"propia, totalmente pagada",3,1,0,departamento en edificio,ladrillo o bloque de cemento,1,2
040129_015582_131_11,015582,131,11,040129,04,0401,040129,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,11.0,1,3.0,2,concreto armado,0,4,50.0,0,"propia, totalmente pagada",1,1,1,casa independiente,ladrillo o bloque de cemento,1,0
040101_015602_028_11,015602,028,11,040101,04,0401,040101,sierra sur, de 500 000 a más habitantes,urbana,0,208.97969,0,6.0,1,5.0,2,concreto armado,0,3,87.0,0,"propia, totalmente pagada",0,1,0,casa independiente,ladrillo o bloque de cemento,1,0
040101_015602_079_11,015602,079,11,040101,04,0401,040101,sierra sur, de 500 000 a más habitantes,urbana,0,208.97969,0,10.0,1,4.0,1,concreto armado,0,1,65.0,0,"propia, totalmente pagada",0,1,0,departamento en edificio,ladrillo o bloque de cemento,1,0
040103_015622_018_11,015622,018,11,040103,04,0401,040103,sierra sur, de 500 000 a más habitantes,urbana,0,286.62036,0,7.0,1,1.0,4,"planchas de calamina, fibra de cemento o similares",1,4,40.0,0,"propia, totalmente pagada",1,1,1,casa independiente,ladrillo o bloque de cemento,0,0
040103_015622_025_11,015622,025,11,040103,04,0401,040103,sierra sur, de 500 000 a más habitantes,urbana,0,286.62036,0,7.0,1,6.0,1,concreto armado,0,1,49.0,0,"propia, totalmente pagada",0,1,0,casa independiente,ladrillo o bloque de cemento,0,0
040103_015622_050_11,015622,050,11,040103,04,0401,040103,sierra sur, de 500 000 a más habitantes,urbana,0,286.62036,0,8.0,1,1.0,0,"planchas de calamina, fibra de cemento o similares",0,1,33.0,0,cedida por otro hogar o institucion,0,1,1,casa independiente,ladrillo o bloque de cemento,0,0
040103_015622_055_11,015622,055,11,040103,04,0401,040103,sierra sur, de 500 000 a más habitantes,urbana,0,286.62036,0,6.0,1,3.0,0,concreto armado,1,4,33.0,0,"propia, totalmente pagada",1,1,0,casa independiente,ladrillo o bloque de cemento,0,1
040102_015628_009_11,015628,009,11,040102,04,0401,040102,sierra sur, de 500 000 a más habitantes,urbana,0,253.19136,0,7.0,1,6.0,0,concreto armado,1,6,40.0,0,"propia, totalmente pagada",1,1,2,casa independiente,ladrillo o bloque de cemento,1,1
