hogar_id,conglome,vivienda,hogar,ubigeo,factor_expansion_anual,target_pobreza_monetaria_bin,acceso_internet_hogar_derivado,internet_hogar_enaho,dispositivo_servicio_digital_1,dispositivo_servicio_digital_2,dispositivo_servicio_digital_3,edad_jefe,num_adultos_65_mas,num_ninos_0_5,num_ninos_6_16,sexo_jefe_bin,tam_hogar,al_menos_un_6_16_no_asiste,al_menos_un_6_16_no_matriculado,hogar_con_ninos_no_asisten,hogar_con_ninos_no_matriculados,nivel_educativo_jefe_cat,nivel_educativo_jefe_ord,num_6_16_no_asisten,num_6_16_no_matriculados,al_menos_un_ingreso_laboral_hogar,jefe_con_ingreso_laboral,num_miembros_con_ingreso_laboral,num_perceptores_hogar,acceso_electricidad,usa_combustible_limpio,usa_combustible_precario,combustible_principal_cocina,es_area_rural,estrato_geografico,al_menos_un_enfermedad_4_sem,al_menos_un_sintoma_4_sem,health_no_attention,num_miembros_afiliados_essalud,num_miembros_con_enfermedad_4_sem,num_miembros_con_sintoma_4_sem,num_miembros_sin_atencion_salud,acceso_agua_red,acceso_desague_red,agua_disponible_diaria,agua_potable_reportada,agua_segura_proxy,saneamiento_inadecuado,material_piso_cat,tipo_vivienda,material_pared,material_techo,num_habitaciones,tenencia_vivienda,piso_precario,ingreso_neto_total_hogar,monto_total_transferencias_publicas,monto_total_programas_sociales_alimentarios,monto_total_programas_sociales_no_alimentarios,recibe_programa_social_alimentario,recibe_programa_social_no_alimentario,monto_bono_alimentario,monto_apoyo_ollas_comunes,monto_ingresos_gastos_ollas_comunes,monto_juntos,monto_otras_transferencias_publicas,monto_pension_65,monto_beca_18,monto_bono_gas,monto_bono_electricidad,monto_bono_onp_jubilados,monto_programa_contigo,monto_bono_yanapay
040102_015587_029_11,015587,029,11,040102,286.62036,0,1,conexion a internet,pase,pase,conexion movil prepago,45.0,0,0,1,0,3,0,1,0,1,primaria incompleta,3.0,0,1,1,1,1,1,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,0,0,0,0,0,0,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,2.0,"propia, totalmente pagada",0,12609.2392578125,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040102_015587_055_11,015587,055,11,040102,286.62036,0,1,conexion a internet,pase,pase,conexion movil prepago,52.0,0,1,1,1,4,0,0,0,0,secundaria completa,6.0,0,0,1,1,2,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,1,0,3,1,1,0,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,4.0,cedida por otro hogar o institucion,0,56369.62890625,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040102_015587_068_11,015587,068,11,040102,286.62036,0,1,conexion a internet,pase,conexion movil post pago control,pase,27.0,0,0,0,0,2,0,0,0,0,secundaria completa,6.0,0,0,1,1,2,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,0,1,0,0,0,1,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,"planchas de calamina, fibra de cemento o similares",1.0,cedida por otro hogar o institucion,0,27705.681640625,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040102_015587_081_11,015587,081,11,040102,286.62036,0,1,conexion a internet,pase,pase,conexion movil prepago,52.0,0,0,0,0,3,0,0,0,0,primaria incompleta,3.0,0,0,1,1,2,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,0,0,3,3,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,2.0,"propia, totalmente pagada",0,29912.55859375,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040117_015605_003_11,015605,003,11,040117,253.19136,0,1,conexion a internet,pase,conexion movil post pago control,pase,40.0,0,1,0,0,6,0,0,0,0,secundaria completa,6.0,0,0,1,1,5,5,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,1,0,2,2,1,0,1,1,1,1,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,4.0,"propia, totalmente pagada",0,75512.1484375,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040117_015605_009_11,015605,009,11,040117,253.19136,0,1,conexion a internet,conexion fija,conexion movil post pago control,pase,46.0,0,1,1,1,7,1,0,1,0,secundaria completa,6.0,1,0,1,1,3,3,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,0,0,2,3,0,1,0,0,0,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,4.0,"propia, totalmente pagada",0,93633.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040117_015605_022_11,015605,022,11,040117,253.19136,0,1,conexion a internet,pase,pase,conexion movil prepago,44.0,0,0,1,0,3,0,0,0,0,secundaria completa,6.0,0,0,1,1,1,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,3,0,2,2,0,1,0,0,0,0,"losetas, terrazos o similares",casa independiente,ladrillo o bloque de cemento,concreto armado,4.0,alquilada,0,18328.5625,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040117_015605_064_11,015605,064,11,040117,253.19136,0,1,conexion a internet,conexion fija,conexion movil post pago control,pase,62.0,0,0,0,1,4,0,0,0,0,secundaria completa,6.0,0,0,1,1,4,4,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,1,0,2,2,1,1,1,1,1,0,parquet o madera pulida,casa independiente,ladrillo o bloque de cemento,concreto armado,4.0,"propia, totalmente pagada",0,84001.0,30754,0.0,30754,0,1,0,0.0,0.0,0,30754,0,0,0,0,0,0,0
040117_015605_074_11,015605,074,11,040117,253.19136,0,1,conexion a internet,conexion fija,conexion movil post pago control,pase,51.0,0,0,0,0,3,0,0,0,0,superior universitaria completa,10.0,0,0,1,1,2,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,1,0,1,1,1,1,1,1,1,0,"losetas, terrazos o similares",casa independiente,ladrillo o bloque de cemento,concreto armado,7.0,"propia, totalmente pagada",0,55699.3671875,959,0.0,959,0,1,0,0.0,0.0,0,959,0,0,0,0,0,0,0
040117_015605_078_11,015605,078,11,040117,253.19136,0,1,conexion a internet,conexion fija,conexion movil post pago control,pase,43.0,0,0,2,1,4,1,0,1,0,superior no universitaria completa,8.0,2,0,1,1,2,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,1,0,3,1,1,0,1,1,1,1,1,0,cemento,casa independiente,piedra o sillar con cal o cemento,concreto armado,3.0,"propia, totalmente pagada",0,54430.8984375,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
