variable,tipo_feature,dtype,nulos_pct,requiere_imputacion,requiere_encoding,riesgo_leakage
p106,numerica,float64,13.8431,True,False,bajo
paesechd,numerica,int16,0.0,False,False,bajo
pagesphd,numerica,int32,0.0,False,False,bajo
personas_con_mod_educ,numerica,int64,0.0,False,False,bajo
personas_con_mod_empleo,numerica,int64,0.0,False,False,bajo
personas_con_mod_salud,numerica,int64,0.0,False,False,bajo
sg23,numerica,float32,0.0,False,False,bajo
sg25,numerica,float32,0.0,False,False,bajo
sg27,numerica,float32,0.0,False,False,bajo
sg42,numerica,float32,0.0,False,False,bajo
sg421,numerica,float32,0.0,False,False,bajo
sg422,numerica,float32,0.0,False,False,bajo
sg42d,numerica,float32,0.0,False,False,bajo
sg42d1,numerica,float32,0.0,False,False,bajo
sg42d2,numerica,float32,0.0,False,False,bajo
sig24,numerica,float32,0.0,False,False,bajo
sig26,numerica,float32,0.0,False,False,bajo
sig28,numerica,float32,0.0,False,False,bajo
tam_hogar,numerica,int8,0.0,False,False,bajo
totmieho,numerica,int8,0.0,False,False,bajo
