survey,category,year,period,module_code,module_name,variable,label,values,concept,query,matched_annual_enaho_2023
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p107b2,"en los ultimos 12 meses, de ... a ...¿ud. o algun miembro del hogar ha obtenido","{""1"": ""si"", ""2"": ""no""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p107b3,"en los ultimos 12 meses, de ... a ...¿ud. o algun miembro del hogar ha obtenido","{""1"": ""si"", ""2"": ""no""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p107b4,"en los ultimos 12 meses, de ... a ...¿ud. o algun miembro del hogar ha obtenido","{""1"": ""si"", ""2"": ""no""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p110,el agua que utilizan en el hogar ¿procede principalmente de:,"{""1"": ""red publica, dentro de la vivienda"", ""2"": ""red publica, fuera de la vivienda pero dentro del edificio"", ""3"": ""pilon o pileta de uso publico"", ""4"": ""camion-cisterna u otro similar"", ""5"": ""pozo (agua subterranea)"", ""6"": ""manantial o puquio"", ""7"": ""otra"", ""8"": ""rio, acequia, lago, laguna""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p110c,el hogar tiene acceso al servicio de agua todos los dias de la semana,"{""1"": ""si"", ""2"": ""no""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p111a,el baño o servicio higienico que tiene su hogar esta conectado a:,"{""1"": ""red publica de desagüe dentro de la vivienda"", ""2"": ""red publica de desagüe fuera de la vivienda pero dentro del edificio"", ""3"": ""letrina (con tratamiento)"", ""4"": ""pozo septico, tanque septico o biodigestor"", ""5"": ""pozo ciego o negro"", ""6"": ""rio, acequia, canal o similar"", ""7"": ""otra"", ""9"": ""campo abierto o al aire libre""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p1121,tipo de alumbrado del hogar: electricidad,"{""0"": ""pase"", ""1"": ""electricidad""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p1123,tipo de alumbrado del hogar: petroleo/gas (lampara),"{""0"": ""pase"", ""1"": ""petroleo/gas(lampara)""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p1124,tipo de alumbrado del hogar: vela,"{""0"": ""pase"", ""1"": ""vela""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p1125,tipo de alumbrado del hogar: generador,"{""0"": ""pase"", ""1"": ""generador""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p1126,tipo de alumbrado del hogar: otro,"{""0"": ""pase"", ""1"": ""otro""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p1127,no utiliza alumbrado en el hogar,"{""0"": ""pase"", ""1"": ""no utiliza alumbrado en el hogar""}",hogar,hogar,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,p112a,el servicio electrico de su hogar es:,"{""1"": ""con medidor de uso exclusivo para la vivienda"", ""2"": ""con medidor de uso colectivo (para varias viviendas)"", ""3"": ""otro""}",hogar,hogar,True
