usa_combustible_limpio,usa_combustible_precario,dispositivo_servicio_digital_2,material_techo,nivel_educativo_jefe_ord,dispositivo_servicio_digital_3,piso_precario,ingreso_neto_total_hogar,num_habitaciones,acceso_internet_hogar_derivado,dispositivo_servicio_digital_1,material_pared,tam_hogar,num_ninos_0_5,num_ninos_6_16,num_miembros_afiliados_essalud,estrato_geografico,monto_juntos,acceso_desague_red,monto_bono_gas,y_true,y_score,y_pred
1,0,conexion movil post pago control,concreto armado,9.0,pase,0,25682.8203125,2.0,1,conexion fija,ladrillo o bloque de cemento,3,1,1,0,de 2 000 a 19 999 habitantes,0,1,0,0,0.317177478554311,1
1,0,pase,concreto armado,5.0,conexion movil prepago,0,18315.546875,3.0,1,pase,ladrillo o bloque de cemento,3,0,0,0, de 500 000 a más habitantes,0,1,0,0,0.5173083459790688,1
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",8.0,pase,0,32543.107421875,2.0,1,pase,ladrillo o bloque de cemento,4,1,1,2, de 500 000 a más habitantes,0,0,0,0,0.37401204325328297,1
0,0,,"planchas de calamina, fibra de cemento o similares",5.0,,0,15373.615234375,1.0,0,,ladrillo o bloque de cemento,1,0,0,1,de 2 000 a 19 999 habitantes,0,1,0,0,0.8170086940443904,1
1,0,pase,concreto armado,5.0,conexion movil prepago,0,18160.220703125,3.0,1,pase,ladrillo o bloque de cemento,2,0,0,0,de 2 000 a 19 999 habitantes,0,0,0,0,0.40349982414282326,1
1,0,conexion movil post pago control,concreto armado,6.0,pase,0,60349.55859375,5.0,1,conexion fija,ladrillo o bloque de cemento,7,0,0,1, de 500 000 a más habitantes,0,1,0,0,0.6652179370272965,1
1,0,,concreto armado,3.0,,0,13125.7138671875,1.0,0,,ladrillo o bloque de cemento,1,0,0,1, de 500 000 a más habitantes,0,1,0,0,0.3762772692777053,1
1,0,,"planchas de calamina, fibra de cemento o similares",1.0,,0,7735.1396484375,1.0,0,,ladrillo o bloque de cemento,1,0,0,0, de 500 a 1 999 habitantes,0,1,0,0,0.7027638132334356,1
0,1,pase,concreto armado,6.0,conexion movil prepago,0,34228.90625,3.0,1,pase,ladrillo o bloque de cemento,5,0,2,2, de 500 000 a más habitantes,0,0,0,0,0.8061024909634693,1
1,0,conexion movil post pago control,concreto armado,6.0,pase,0,49150.0,4.0,1,pase,ladrillo o bloque de cemento,5,1,2,5, de 20 000 a 49 999 habitantes,0,1,0,0,0.4014584037873837,1
0,1,pase,caña o estera con torta de barro o cemento,3.0,conexion movil prepago,0,21107.38671875,2.0,1,pase,ladrillo o bloque de cemento,2,0,0,0,de 2 000 a 19 999 habitantes,0,1,0,0,0.8513969781423585,1
0,1,conexion movil post pago control,otro material,5.0,pase,1,24849.916015625,2.0,1,pase,otro material,5,1,3,0, de 500 a 1 999 habitantes,0,1,308,0,0.8673000712378146,1
0,0,pase,"planchas de calamina, fibra de cemento o similares",4.0,conexion movil prepago,0,12726.41796875,4.0,1,pase,adobe,2,0,1,0,area de empadronamiento rural (aer) compuesto,1201,0,300,0,0.4308484294168109,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,30335.986328125,1.0,1,pase,ladrillo o bloque de cemento,2,0,0,0, de 500 000 a más habitantes,0,0,0,0,0.24353627748866946,1
1,0,pase,concreto armado,4.0,conexion movil prepago,0,20368.0,3.0,1,pase,ladrillo o bloque de cemento,2,0,0,0, de 500 000 a más habitantes,0,1,299,0,0.29303004983422953,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,48014.9765625,5.0,1,conexion fija,ladrillo o bloque de cemento,5,0,0,0, de 20 000 a 49 999 habitantes,0,0,0,0,0.6417570390974092,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",1.0,conexion movil prepago,0,14486.4892578125,3.0,1,pase,ladrillo o bloque de cemento,2,0,0,0, de 500 a 1 999 habitantes,0,1,308,0,0.6326663064476608,1
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",8.0,conexion movil prepago,0,34283.21484375,2.0,1,pase,adobe,2,0,0,1,de 2 000 a 19 999 habitantes,0,1,0,0,0.2471110799582281,1
0,1,pase,tejas,5.0,conexion movil prepago,0,21003.169921875,4.0,1,pase,ladrillo o bloque de cemento,4,1,0,0, de 500 a 1 999 habitantes,0,1,308,0,0.714385013190416,1
1,0,conexion movil post pago control,concreto armado,9.0,pase,0,37293.5,4.0,1,conexion fija,ladrillo o bloque de cemento,5,1,0,2, de 500 000 a más habitantes,0,1,0,0,0.29660607366296,1
1,0,pase,concreto armado,6.0,conexion movil prepago,0,30243.4453125,2.0,1,pase,ladrillo o bloque de cemento,3,0,1,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.4930138695151768,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,24290.490234375,2.0,1,pase,ladrillo o bloque de cemento,3,0,0,1, de 500 000 a más habitantes,0,0,0,0,0.4603474183915536,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",7.0,conexion movil prepago,0,16308.0859375,1.0,1,pase,ladrillo o bloque de cemento,3,0,1,2, de 20 000 a 49 999 habitantes,0,0,0,0,0.6088627535226534,1
1,0,conexion movil post pago control,concreto armado,8.0,pase,0,28035.0,4.0,1,conexion fija,ladrillo o bloque de cemento,4,0,1,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.33450988476611715,1
1,0,conexion movil post pago control,concreto armado,6.0,pase,0,27997.31640625,3.0,1,pase,ladrillo o bloque de cemento,3,0,2,2,de 2 000 a 19 999 habitantes,0,1,0,0,0.377959645377603,1
