feature_set,model,strategy,threshold,recall,precision,f1,roc_auc,pr_auc
top20_sin_leakage,Logistic,weighted,0.4,0.8457607433217189,0.3009280723065865,0.4432780108660751,0.8399663980282115,0.48416272402219107
top20_sin_leakage,Logistic,weighted,0.45,0.8022067363530778,0.31651967418416055,0.45332462239194415,0.8399663980282115,0.48416272402219107
top20_sin_leakage,Logistic,weighted,0.5,0.753890824622532,0.33659054862357457,0.4646984608555436,0.8399663980282115,0.48416272402219107
top20_sin_leakage,RandomForest,smote,0.2,0.9371660859465738,0.22479294735841254,0.362527676533842,0.8116352368540042,0.40273409306593466
top20_sin_leakage,RandomForest,smote,0.25,0.8745644599303135,0.23473498003236784,0.3700329491431744,0.8116352368540042,0.40273409306593466
top20_sin_leakage,RandomForest,smote,0.3,0.8263646922183507,0.25038293545964224,0.3840008052598393,0.8116352368540042,0.40273409306593466
top20_sin_leakage,RandomForest,smote,0.35,0.7924506387921022,0.2820819952646128,0.41530543726830194,0.8116352368540042,0.40273409306593466
top20_sin_leakage,RandomForest,smote,0.4,0.7391405342624855,0.30518800492070997,0.43135813480518415,0.8116352368540042,0.40273409306593466
top20_sin_leakage,RandomForest,smote,0.45,0.6670150987224158,0.32187617601251084,0.4332877428529603,0.8116352368540042,0.40273409306593466
top20_sin_leakage,RandomForest,smote,0.5,0.5801393728222997,0.35920991870144414,0.441321496652776,0.8116352368540042,0.40273409306593466
top20_sin_leakage,RandomForest,weighted,0.2,0.9711962833914054,0.2012296648897367,0.3332848992795132,0.8247794593540265,0.44167674837783205
top20_sin_leakage,RandomForest,weighted,0.25,0.9420441347270616,0.21411231666322988,0.3488154682348748,0.8247794593540265,0.44167674837783205
top20_sin_leakage,RandomForest,weighted,0.3,0.9178861788617887,0.22839128413064058,0.36566879315143463,0.8247794593540265,0.44167674837783205
top20_sin_leakage,RandomForest,weighted,0.35,0.8743321718931474,0.25220133824610425,0.3913234460119406,0.8247794593540265,0.44167674837783205
top20_sin_leakage,RandomForest,weighted,0.4,0.8166085946573751,0.2764315308675065,0.41272553558521763,0.8247794593540265,0.44167674837783205
top20_sin_leakage,RandomForest,weighted,0.45,0.7685249709639954,0.3066351792084574,0.4381316673921304,0.8247794593540265,0.44167674837783205
top20_sin_leakage,RandomForest,weighted,0.5,0.7055749128919862,0.34917638107446586,0.46665640122765845,0.8247794593540265,0.44167674837783205
top20_sin_leakage,Tree,smote,0.2,0.7253193960511034,0.23868211103209086,0.3580459158611318,0.7207880061352413,0.2720276067159465
top20_sin_leakage,Tree,smote,0.25,0.6816492450638792,0.242899216252962,0.35676568230321204,0.7207880061352413,0.2720276067159465
top20_sin_leakage,Tree,smote,0.3,0.6721254355400698,0.25282544686434844,0.3660582805234758,0.7207880061352413,0.2720276067159465
top20_sin_leakage,Tree,smote,0.35,0.6289198606271776,0.26035434393814844,0.36470315104520823,0.7207880061352413,0.2720276067159465
top20_sin_leakage,Tree,smote,0.4,0.5902439024390244,0.28561496545475623,0.380988455988456,0.7207880061352413,0.2720276067159465
