variable,target_pobreza_bin,count,mean,median,std,min,max
ig06hd,0,1310,115.60388946533203,0.0,686.9036865234375,0.0,10111.5390625
ig06hd,1,207,19.858591079711914,0.0,251.7470245361328,0.0,3586.4033203125
g05hd1,0,1310,48.24238586425781,0.0,488.3344421386719,0.0,8916.845703125
g05hd1,1,207,1.98007071018219,0.0,28.488256454467773,0.0,409.8746337890625
ig06hd1,0,1310,540.105224609375,0.0,1814.6219482421875,0.0,16476.9140625
ig06hd1,1,207,949.2481689453125,0.0,3145.583984375,0.0,33818.8203125
g05hd2,0,1310,201.18919372558594,0.0,1141.965576171875,0.0,13018.822265625
g05hd2,1,207,12.463691711425781,0.0,130.4033966064453,0.0,1611.734375
ig06hd2,0,1310,63.16245651245117,0.0,737.2260131835938,0.0,12918.4482421875
ig06hd2,1,207,46.912506103515625,0.0,561.463134765625,0.0,7875.75
g07hd,0,1310,1196.9747314453125,758.44580078125,1457.8779296875,0.0,13431.197265625
g07hd,1,207,536.4554443359375,280.44818115234375,693.8796997070312,0.0,4232.10302734375
ig08hd,0,1310,22.349332809448242,0.0,458.90240478515625,0.0,16028.4248046875
ig08hd,1,207,2.8695409297943115,0.0,34.14997100830078,0.0,480.78179931640625
ingtprhd,0,1310,1372.5450381679389,0.0,4866.274825049728,0.0,95950.0
ingtprhd,1,207,868.671497584541,0.0,2203.8160897819325,0.0,11536.0
ingtpuhd,0,1310,1855.120610687023,0.0,5726.814006259892,0.0,85529.0
ingtpuhd,1,207,678.3864734299517,0.0,1731.7901018048772,0.0,10888.0
ingtpu01,0,1310,20.334351145038166,0.0,155.66635776002573,0.0,1244.0
ingtpu01,1,207,93.68599033816425,0.0,324.51780950553655,0.0,1244.0
ingtpu02,0,1310,1704.6167938931299,0.0,5669.254553688955,0.0,85529.0
ingtpu02,1,207,291.69565217391306,0.0,1531.612510607989,0.0,9924.0
ingtpu03,0,1310,52.20763358778626,0.0,337.91853942140233,0.0,3604.0
ingtpu03,1,207,193.94685990338164,0.0,629.5158195512919,0.0,3570.0
ingtpu04,0,1310,47.8587786259542,0.0,858.5572904521723,0.0,23822.0
ingtpu04,1,207,0.0,0.0,0.0,0.0,0.0
ingtpu05,0,1310,8.093893129770992,0.0,48.8758537945315,0.0,310.0
ingtpu05,1,207,29.164251207729468,0.0,89.40109291753213,0.0,308.0
ingtpu10,0,1310,0.7099236641221374,0.0,4.7946184334478446,0.0,62.0
ingtpu10,1,207,1.9420289855072463,0.0,8.117254888889137,0.0,62.0
ingtpu12,0,1310,2.0839694656488548,0.0,41.44276164804463,0.0,999.0
ingtpu12,1,207,4.647342995169082,0.0,66.86362210763532,0.0,962.0
ingtpu13,0,1310,2.7229007633587785,0.0,69.6605126517223,0.0,1785.0
ingtpu13,1,207,34.51207729468599,0.0,246.4578551557933,0.0,1795.0
ingtpu14,0,1310,0.8450381679389313,0.0,17.646593101465424,0.0,376.0
ingtpu14,1,207,0.0,0.0,0.0,0.0,0.0
ingtpu16,0,1310,15.647328244274808,0.0,86.96588842275335,0.0,1140.0
ingtpu16,1,207,28.792270531400966,0.0,98.53972801980794,0.0,573.0
gru14hd1,0,1310,74.1253890991211,0.0,938.345947265625,0.0,19170.6953125
gru14hd1,1,207,6.2833380699157715,0.0,74.15632629394531,0.0,1053.72900390625
gru14hd2,0,1310,5.463236331939697,0.0,116.28276824951172,0.0,3556.32373046875
gru14hd2,1,207,0.0,0.0,0.0,0.0,0.0
gru14hd4,0,1310,111.8952407836914,0.0,963.4090576171875,0.0,18410.5859375
gru14hd4,1,207,20.984657287597656,0.0,185.96261596679688,0.0,2192.8359375
gru42hd1,0,1310,28.849761962890625,0.0,147.95901489257812,0.0,2142.98828125
gru42hd1,1,207,10.60916519165039,0.0,88.92816925048828,0.0,1042.9708251953125
gru42hd2,0,1310,2.701141595840454,0.0,36.13728713989258,0.0,825.5303344726562
gru42hd2,1,207,0.49688616394996643,0.0,7.148947238922119,0.0,102.85543823242188
gru43hd1,0,1310,0.039257802069187164,0.0,1.4208937883377075,0.0,51.42771911621094
gru43hd1,1,207,0.025960102677345276,0.0,0.3735008239746094,0.0,5.373741149902344
gru43hd2,0,1310,52.420963287353516,3.1787548065185547,471.5856628417969,0.0,15048.2822265625
gru43hd2,1,207,21.065149307250977,2.034266233444214,79.09208679199219,0.0,708.4497680664062
gru43hd3,0,1310,0.0246569886803627,0.0,0.48827284574508667,0.0,12.715019226074219
gru43hd3,1,207,0.024568432942032814,0.0,0.35347819328308105,0.0,5.085665702819824
gru71hd,0,1310,2453.828369140625,616.3426513671875,4851.5224609375,0.0,49279.80078125
gru71hd,1,207,580.79443359375,279.0,925.2548828125,0.0,6545.001953125
gru72hd1,0,1310,1.9471653699874878,0.0,23.48181915283203,0.0,492.0
gru72hd1,1,207,0.07729468494653702,0.0,0.7528692483901978,0.0,10.0
gru73hd1,0,1310,69.44236755371094,0.0,499.2998352050781,0.0,13196.0
gru73hd1,1,207,85.14250946044922,0.0,166.2191619873047,0.0,1269.0
gru73hd2,0,1310,241.65469360351562,0.0,1171.10986328125,0.0,17012.5
gru73hd2,1,207,60.8176155090332,0.0,198.0426788330078,0.0,1708.613037109375
gru73hd3,0,1310,7.727524280548096,0.0,95.95084381103516,0.0,3330.3583984375
gru73hd3,1,207,4.470911979675293,0.0,19.6468505859375,0.0,244.6753387451172
gru74hd,0,1310,0.4689313471317291,0.0,10.574170112609863,0.0,321.20001220703125
gru74hd,1,207,0.0,0.0,0.0,0.0,0.0
gru81hd,0,1310,1314.17626953125,843.7332763671875,1746.1937255859375,0.0,24991.26171875
gru81hd,1,207,399.8086242675781,283.4332275390625,473.94415283203125,0.0,3893.77001953125
gru82hd1,0,1310,44.678863525390625,0.0,266.4864807128906,0.0,5213.4921875
gru82hd1,1,207,6.983480453491211,0.0,66.87711334228516,0.0,933.6227416992188
